TempC,Cloud,NBI_Count
24.5,Sunny,310
18.4,Cloudy,2760
16.2,Mix,1710
20.9,Sunny,1100
18.8,Cloudy,2060
23.7,Mix,580
24.5,Sunny,60
25.9,Sunny,70
26.7,Sunny,185
27.7,Mix,810
25.9,Mix,150
26.9,Sunny,250
26.7,Mix,610
25.9,Cloudy,2380
24,Sunny,590
26,Sunny,45
22,Mix,830
20.1,Mix,3500
23.7,Cloudy,1350
14.4,Cloudy,3200
16.2,Mix,920
17,Cloudy,950
19.3,Cloudy,3300
20.4,Sunny,370
21.3,Sunny,53
18.2,Sunny,2230
14.4,Cloudy,870
13.6,Cloudy,35
19.5,Cloudy,2100
22.1,Sunny,3100
20.9,Mix,3100
16.7,Cloudy,39
14.9,Cloudy,1850
13.5,Cloudy,3800
13.9,Cloudy,580
18.4,Sunny,13
16.3,Cloudy,2100
20.1,Mix,2700